Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
SPAIN,6/17/2017,2017.0,Unprovoked,Ibiza Island,Playa d’en Bossa,Swimming,M,82,2-inch laceration to hand,N,12h00,,06
FRENCH POLYNESIA,2017.06.05,2017.0,Unprovoked,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,0,Injuries to hand and wrist,N,,,06
BAHAMAS,Reported 14-Jun-2017,2017.0,Unprovoked,other,other,Feeding sharks,F,0,Fingernail pulled off ,N,,,06
AUSTRALIA,6/11/2017,2017.0,Unprovoked,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m",06
AUSTRALIA,6/10/2017,2017.0,Unprovoked,Victoria,"Flinders, Mornington Penisula",Surfing,F,0,"No injury, knocked off board",N,15h45,Seven-gill shark,06
USA,6/10/2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10h00,,06
UNITED KINGDOM,Reported 07-Jun-2017,2017.0,Unprovoked,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound",06
USA,6/4/2017,2017.0,Unprovoked,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,0,Laceration to shin,N,,8' shark,06
BAHAMAS,6/2/2017,2017.0,Unprovoked,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,06
USA,5/28/2017,2017.0,Unprovoked,Florida,Off Jupiter,Feeding sharks,M,0,Lacerations to right arm,N,Morning,Tiger shark,05
UNITED ARAB EMIRATES,5/12/2017,2017.0,Unprovoked,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,Morning,,05
MEXICO,5/5/2017,2017.0,Unprovoked,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,17h00,,06
USA,4/29/2017,2017.0,Unprovoked,California,"San Onofre, San Diego County ",Swimming,F,0,Major injury to posterior thigh,N,17h34,,04
SOUTH AFRICA,4/29/2017,2017.0,Unprovoked,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,17h10,,04
USA,4/29/2017,2017.0,Unprovoked,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,11h00,,04
