Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
SOUTH AFRICA,4/5/2004,2004.0,Unprovoked,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,04
USA,3/31/2004,2004.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",other,M,26,Right foot bitten,N,,,03
USA,3/31/2004,2004.0,Unprovoked,Florida,"Stuart Rocks, Martin County",Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,03
BRAZIL,3/29/2004,2004.0,Unprovoked,Pernambuco,Piedade Beach,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,03
USA,3/28/2004,2004.0,Unprovoked,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,M,0,Heel bitten,N,15h00,bull shark,03
REUNION,3/27/2004,2004.0,Unprovoked,Saint-Benoît,Spot de la gare,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,03
USA,3/27/2004,2004.0,Unprovoked,Florida,"Sanibel Island, Lee County",Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,03
USA,3/14/2004,2004.0,Unprovoked,Hawaii,Punaluu,Snorkeling,F,0,Lacerations to left foot,N,10h00,1.8 m [6'] shark,03
NEW ZEALAND,3/22/2004,2004.0,Unprovoked,North Island,Te Arai Point,Spearfishing,M,0,No injury,N,12h30,Bronze whaler shark,03
USA,3/16/2004,2004.0,Unprovoked,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",03
AUSTRALIA,3/6/2004,2004.0,Unprovoked,Western Australia,5 nm off Cervantes,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",03
BRAZIL,2/29/2004,2004.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,02
NEW ZEALAND,2/26/2004,2004.0,Unprovoked,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,02
AUSTRALIA,2/21/2004,2004.0,Unprovoked,New South Wales,"Taree, Old Bar Beach",Swimming,M,0,Three toes lacerated,N,,,02
EGYPT,2/14/2004,2004.0,Unprovoked,other,"Coral Bay, Sharm-el-Sheikh",Snorkeling,M,0,FATAL,Y,,,02
AUSTRALIA,2/11/2004,2004.0,Unprovoked,New South Wales,Caves Beach,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",02
AUSTRALIA,1/25/2004,2004.0,Unprovoked,Western Australia,Binningup,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,01
URUGUAY,1/23/2004,2004.0,Unprovoked,Rocha,Ensenada de la Coronilla,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,01
VENEZUELA,1/21/2004,2004.0,Unprovoked,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,M,0,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",01
VENEZUELA,1/21/2004,2004.0,Unprovoked,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",01
AUSTRALIA,1/12/2004,2004.0,Unprovoked,New South Wales,Bushrangers Pass at Bass Point,Diving,M,0,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",01
SOUTH AFRICA,1/7/2004,2004.0,Unprovoked,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,01
AUSTRALIA,6/26/1905,2004.0,Unprovoked,Western Australia,Redgate Beach,Surfing,M,0,No inury,N,Morning,,00
USA,12/13/2003,2003.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,Foot bitten,N,13h15,,12
NEW ZEALAND,12/13/2003,2003.0,Unprovoked,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,FATAL,Y,Night,,12
AUSTRALIA,12/8/2003,2003.0,Unprovoked,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,09h30,,12
AUSTRALIA,11/30/2003,2003.0,Unprovoked,Western Australia,Perth? (Margaret River District),Swimming,M,0,"After biting Halverson, it bit Scott's thigh",N,11h30,"Wobbegong shark, 1.2 m [4'] ",11
AUSTRALIA,11/30/2003,2003.0,Unprovoked,Western Australia,Perth? (Margaret River District),Swimming,M,0,Hand & foot bitten,N,11h30,"Wobbegong shark, 1.2 m [4'] ",11
SOUTH AFRICA,11/27/2003,2003.0,Unprovoked,KwaZulu-Natal,Sodwana,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?",11
USA,11/22/2003,2003.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark,11
INDIA,11/12/2003,2003.0,Unprovoked,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,35,Left index finger lacerated,N,,Tiger shark?,11
USA,11/12/2003,2003.0,Unprovoked,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to hand,N,,,11
EGYPT,11/6/2003,2003.0,Unprovoked,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,M,0,Hand/elbow injured,N,,2.5 oceanic whitetip shark,11
SOUTH AFRICA,11/6/2003,2003.0,Unprovoked,KwaZulu-Natal,Karridene,Surf skiing,UNKNOWN,0,"No injury to occupants, hull of ski bitten",N,,White shark,11
AUSTRALIA,11/1/2003,2003.0,Unprovoked,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,0,Minor lacerations to leg & foot,N,Dusk,,11
USA,10/31/2003,2003.0,Unprovoked,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark,10
AUSTRALIA,10/31/2003,2003.0,Unprovoked,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",10
USA,10/31/2003,2003.0,Unprovoked,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' ",10
USA,10/27/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,Laceration on right ankle & heel,N,12h20,,10
USA,10/14/2003,2003.0,Unprovoked,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark,10
USA,10/5/2003,2003.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,0,Minor puncture wounds in hand,N,15h00,,10
USA,10/5/2003,2003.0,Unprovoked,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,14h30,,10
USA,10/5/2003,2003.0,Unprovoked,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,50,Left foot bitten,N,12h02,,10
USA,10/5/2003,2003.0,Unprovoked,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark""",10
FIJI,9/29/2003,2003.0,Unprovoked,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,Night,,09
USA,9/28/2003,2003.0,Unprovoked,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,Arm lacerated,N,07h45,,09
USA,9/21/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,Left foot bitten,N,11h45,,09
USA,9/19/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,Left heel lacerated,N,16h30,,09
USA,9/17/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,3 puncture wounds on left foot,N,14h00,,09
USA,9/14/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark,09
USA,9/13/2003,2003.0,Unprovoked,Florida,"Daytona Beach, Volusia County ",Body boarding,M,18,Left calf avulsion,N,17h11,6' shark,09
USA,9/13/2003,2003.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark,09
SOUTH AFRICA,9/12/2003,2003.0,Unprovoked,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark,09
USA,9/3/2022,2003.0,Unprovoked,Florida,"Boca Grande, Lee County",Wade-fishing,M,0,2 lacerations on each side of Achilles tendon,N,,,09
USA,8/19/2003,2003.0,Unprovoked,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark,08
SOUTH AFRICA,8/8/2003,2003.0,Unprovoked,Eastern Cape Province,Jeffrey’s Bay,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark,08
AUSTRALIA,Reported 26-Jul-2003,2003.0,Unprovoked,Northern Territory,Nhulunbuy,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,,,07
USA,7/20/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,Laceration to little finger of  right hand,N,15h45,,07
USA,7/15/2003,2003.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Wading,F,15,Heel & sole of left foot,N,14h37,,07
BAHAMAS,7/10/2003,2003.0,Unprovoked,Abaco Islands,Bakers Bay,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species,07
USA,7/5/2003,2003.0,Unprovoked,Florida,"Canova Beach, Brevard County",Surfing,M,21,Left foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark,07
BAHAMAS,7/4/2003,2003.0,Unprovoked,Abaco Islands,10 miles west of Walker’s Cay,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark,07
USA,7/3/2022,2003.0,Unprovoked,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,0,Laceration to toe,N,,8' great hammerhead shark,07
FRENCH POLYNESIA,Late Jul-2003,2003.0,Unprovoked,Society Islands,Moorea,Spearfishing,M,0,Leg bitten,N,,,07
NEW ZEALAND,7/3/2022,2003.0,Unprovoked,Cook Islands,Beveridge Reef,Snorkeling,M,0,Chest & buttocks  bitten,N,,Grey reef shark,07
USA,6/30/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species,06
USA,6/26/2003,2003.0,Unprovoked,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark,06
BRAZIL,6/24/2003,2003.0,Unprovoked,Pernambuco,"Piedade, Recife",other,M,0,FATAL,Y,,,06
USA,6/24/2003,2003.0,Unprovoked,Florida,"Cocoa Beach, Brevard County",Standing,F,12,2 lacerations to the thigh,N,Afternoon,“small brown shark”,06
USA,6/24/2003,2003.0,Unprovoked,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,M,60,Right foot bitten,N,08h00,3.7 m to 4.3 m [12' to 14'] shark,06
USA,6/22/2003,2003.0,Unprovoked,Johnston Atoll,other,Swimming,M,51,Left leg bitten,N,Afternoon,Unidentified species,06
USA,6/19/2003,2003.0,Unprovoked,North Carolina,"Masonboro Island, New Hanover County",Surfing ,M,33,Hand bitten ,N,Late afternoon,"""sand shark""",06
USA,6/8/2003,2003.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,UNKNOWN,15,6 puncture wounds to left ankle,N,11h55,,06
USA,5/25/2003,2003.0,Unprovoked,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,18,Left foot lacerated,N,10h00,,05
USA,5/14/2003,2003.0,Unprovoked,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,22,Left foot bitten,N,13h23,3' to 5' shark,05
USA,5/10/2003,2003.0,Unprovoked,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,20,Right calf & heel bitten,N,11h45,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,05
USA,5/3/2003,2003.0,Unprovoked,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,Laceration to right lower leg,N,12h20,,05
PHILIPPINES,5/3/2022,2003.0,Unprovoked,Baatan,Limay,other,UNKNOWN,0,Arm severed,N,,White shark,05
BRAZIL,4/25/2003,2003.0,Unprovoked,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,M,16,Bitten on finger,N,18h30,,04
BRAZIL,4/23/2003,2003.0,Unprovoked,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,17h00,Bull shark,04
BRAZIL,4/23/2003,2003.0,Unprovoked,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,7,Right hand lacerated,N,,,04
USA,4/21/2003,2003.0,Unprovoked,Florida,"Melbourne Beach, Brevard County ",Surfing,M,36,Right leg bitten,N,14h30,Unidentified species,04
USA,4/21/2003,2003.0,Unprovoked,Florida,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,M,17,Survived,N,13h30,Unidentified species,04
USA,4/20/2003,2003.0,Unprovoked,Florida,"Playalinda Beach, Brevard County",Surfing,M,30,Left foot bitten,N,Afternoon,Unidentified species,04
USA,4/20/2003,2003.0,Unprovoked,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,M,23,Small lacerations to foot,N,09h00,0.9 m to 1.2 m [3' to 4'] shark,04
USA,4/20/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left ankle bitten or right foot,N,14h20,Unidentified species,04
USA,4/19/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County  ",Jumping,M,11,Left foot bitten,N,13h20,A “small” shark,04
USA,4/18/2003,2003.0,Unprovoked,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,M,12,2 lacerations on left thigh,N,08h50,Unidentified species,04
USA,4/15/2003,2003.0,Unprovoked,Florida,"Cocoa Beach, Brevard County",Swimming (using a float),M,20,Left calf lacerated,N,13h00,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",04
VENEZUELA,4/11/2003,2003.0,Unprovoked,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,M,28,"Right foot bitten, left leg severed",N,--,"Mako shark, 3 m [10']",04
USA,4/9/2003,2003.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Surfing,M,0,Arm lacerated,N,Dusk,,04
USA,4/4/2003,2003.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,50,Left hand and wrist bitten,N,08h00,4' to 5' shark,04
NEW ZEALAND,2/27/2003,2003.0,Unprovoked,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,M,44,Arm lacerated (shark made 3 strikes),N,11h45,2.5 m [8.25'] white shark,02
AUSTRALIA,2/15/2003,2003.0,Unprovoked,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,37,Ankle lacerated,N,Dusk,"""a small shark""",02
USA,2/15/2003,2003.0,Unprovoked,Florida,"Jupiter, Palm Beach County",Swimming,M,54,Left hand bitten,N,12h10,Species unidentified,02
AUSTRALIA,2/11/2003,2003.0,Unprovoked,New South Wales,"Coogee Bay, near Sydney",Swimming,M,24,"Puncture wounds on heel, legs and buttocks",N,--,Thought to involve a 2 m [6.75'] grey nurse shark,02
AUSTRALIA,2/8/2003,2003.0,Unprovoked,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,84,FATAL,Y,Morning,Thought to involve a >2 m [6.75'] bull shark,02
COSTA RICA,1/3/2003,2003.0,Unprovoked,North Pacific coast,Playa Tamarindo ,Surfing,M,0,Lower right leg lacerated,N,,"Bull shark, 7'",01
AUSTRALIA,1/2/2003,2003.0,Unprovoked,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,Surfing,F,0,"No injury, but her surfboard was bitten",N,13h00,"Bronze whaler shark, 2.5 m [8.25'] ",01
AUSTRALIA,12/29/2002,2002.0,Unprovoked,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,Left arm lacerated,N,,Reported to involve a hammerhead shark,12
SOUTH AFRICA,12/24/2002,2002.0,Unprovoked,Western Cape Province,Scarborough,Snorkeling,M,25,Forearms lacerated,N,Just after 12h00,"White shark, 4 m white shark",12
AUSTRALIA,12/21/2002,2002.0,Unprovoked,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,26,Groin bitten,N,,"Wobbegong shark, 1m",12
AUSTRALIA,12/16/2002,2002.0,Unprovoked,Queensland,Miami Lake,Swimming,M,23,FATAL,Y,02h30,Bull shark,12
BRAZIL,12/1/2002,2002.0,Unprovoked,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,19,FATAL,Y,,,12
MICRONESIA,11/28/2002,2002.0,Unprovoked,Caroline Islands,"Pision Reef, Truk",Scuba diving,M,0,Minor injury to right calf,N,Afternoon,Blacktip shark,11
USA,11/28/2002,2002.0,Unprovoked,California,"Salmon Creek, Sonoma County",Body boarding,M,48,Both legs severely lacerated,N,09h45,3 m to 4.5 m [10' to 15'] white shark,11
USA,11/17/2002,2002.0,Unprovoked,Hawaii,Ka'anapali,Swimming,F,34,Right shoulder forarm & wrist bitten,N,10h45,2.4 m to 3 m [8' to 10'] grey colored shark,11
TURKS & CAICOS,11/14/2002,2002.0,Unprovoked,Caicos Bank,French Cay,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,08h40,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,11
USA,11/11/2002,2002.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,1.5-inch laceration,N,13h40,6' shark,11
USA,11/2/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,16,Puncture wounds on right foot,N,13h25,3' to 4' shark,11
FRENCH POLYNESIA,11/2/2022,2002.0,Unprovoked,Society Islands,Tetiaroa,"Fishing, standing in 2' of water",M,52,Shin bruised,N,,,11
USA,10/30/2002,2002.0,Unprovoked,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,60,Left foot bitten ,N,11h56,A “small” shark,10
BRAZIL,10/14/2002,2002.0,Unprovoked,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City, Recife",Swimming,M,36,"FATAL, body not recovered",Y,16h00,Possibly a bull shark or tiger shark,10
USA,10/11/2002,2002.0,Unprovoked,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,21,Left foot bitten,N,Sunset,,10
USA,10/5/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Abrasions on right hand & deep laceration on middle finger,N,12h00,Blacktip or spinner shark,10
USA,10/5/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,35,Heel & back of right knee lacerated,N,13h30,3.5' to 4.5' shark,10
USA,10/3/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Left hand lacerated and abraded,N,14h35,3.5' to 4' shark,10
USA,9/30/2002,2002.0,Unprovoked,Florida,"Ormond Beach, Volusia County",Surfing,M,47,Right hand severely lacerated,N,16h20,4' to 5' shark,09
USA,9/29/2002,2002.0,Unprovoked,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,Left hand bitten,N,07h30,,09
USA,9/27/2002,2002.0,Unprovoked,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,55,"No injury, surfboard bitten ",N,15h35,1.2 m [4'] blacktip shark,09
USA,9/21/2002,2002.0,Unprovoked,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,24, Ankle lacerated,N, ,2.4 m [8'] shark,09
USA,9/21/2002,2002.0,Unprovoked,California,"Moonstone Beach, Humboldt County",Surfing,M,35,No injury,N,Early Morning,3 m to 3.7 m [10' to 12'] shark,09
BRAZIL,9/16/2002,2002.0,Unprovoked,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City",Swimming,M,19,"Left thigh bitten, leg surgically amputated",N,15h00,Bull or tiger shark,09
USA,9/16/2002,2002.0,Unprovoked,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,UNKNOWN,0,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,07h50,,09
SOUTH AFRICA,9/13/2002,2002.0,Unprovoked,Western Cape Province,"Glencairn, False Bay",Surf skiing,M,47,No injury,N,16h00,White shark,09
USA,9/9/2002,2002.0,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,M,20,Bitten above & below right knee,N,15h55,4' to 6' shark,09
USA,8/28/2002,2002.0,Unprovoked,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,16,Left foot lacerated ,N,15h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",08
USA,8/17/2002,2002.0,Unprovoked,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,29,Both arms & leg bitten,N,17h00,,08
USA,8/14/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,27,Big toe bitten,N,14h45,0.9 m  to 1.2 m [3' to 4'] shark,08
USA,8/11/2002,2002.0,Unprovoked,Florida,"Vero Beach, Indian River County",Surfing,M,15,Lacerations on heel & dorsum of right foot,N,15h30,"Nurse shark, 1.5 m [5'] ",08
USA,8/7/2002,2002.0,Unprovoked,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,15,Ankle & leg lacerated,N,12h30,,08
USA,8/5/2002,2002.0,Unprovoked,North Carolina,"Topsail Beach, Pender County",Standing,M,14,Leg lacerated,N,11h00,1.2 m to 1.5 m [4' to 5'] shark,08
USA,7/26/2002,2002.0,Unprovoked,South Carolina,"Myrtle Beach, Horry County",Surfing,M,13,Heel bitten,N,19h00,1.2 m [4'] blacktip or sandbar shark,07
USA,7/20/2002,2002.0,Unprovoked,North Carolina,"Emerald Isle, Carteret County",Swimming,F,15,Calf bitten,N,17h00,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",07
BRAZIL,7/10/2002,2002.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Surfing,M,22,Right hand severed,N,15h00,Bull or tiger shark,07
USA,7/4/2002,2002.0,Unprovoked,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,9,"Calf, foot & hand bitten",N,17h15,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",07
AUSTRALIA,6/20/2002,2002.0,Unprovoked,Queensland,Sunshine Beach,Surfing,M,30,minor injury to foot,N,10h00,,06
USA,6/20/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Swimming,F,11,Small lacerations on right lower leg,N,14h25,,06
PAPUA NEW GUINEA,Reported 13-Jun-2002,2002.0,Unprovoked,Louisiade Archipelago,"Brooker Island , Calvados Chain",other,UNKNOWN,0,"Arm severely lacerated, surgically amputated",N,,,06
PAPUA NEW GUINEA,Reported 13-Jun-2002,2002.0,Unprovoked,Louisiade Archipelago,"Gawa Reefs, Sudest Island",Attempting to retreive a dinghy,UNKNOWN,0,FATAL,Y,,,06
USA,6/11/2002,2002.0,Unprovoked,Hawaii,"Anini Beach, Kaua'i",Sitting on surfboard,UNKNOWN,0,"No injury, shark bit side of surfboard",N,13h345,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  ",06
USA,6/10/2002,2002.0,Unprovoked,Florida,"St Augustine Beach, St Johns County",Surfing,M,28,Right hand lacerated,N,13h00,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,06
USA,6/9/2002,2002.0,Unprovoked,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,50,6-inch gash on right foot,N,10h40,  ,06
USA,6/9/2002,2002.0,Unprovoked,Florida,"Jensen Beach, Martin County ",Swimming,M,10,Right calf lacerated,N,13h00,,06
SOUTH AFRICA,6/3/2002,2002.0,Unprovoked,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling (filming the sardine run),M,50,Upper arm bitten,N,  ,1.5 to 2.5 m [5' to 8.25'] copper shark,06
USA,5/31/2002,2002.0,Unprovoked,California,"Stinson Beach, Marin County",Surfing,M,24,Lacerated leg & back,N,14h15,3.7 m to 4.3 m [12' to 14'] white shark,05
USA,5/31/2002,2002.0,Unprovoked,Florida,"St. George Island (near Apachicola), Franklin County",Floating on a raft,M,16,Lacerated foot,N,16h15,1 m  shark,05
USA,5/22/2002,2002.0,Unprovoked,Florida,"Atlantic Avenue, Palm Beach County",Playing in the surf with his 2 dogs,M,35,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N,06h47,,05
COSTA RICA,Reported 21-May-2002,2002.0,Unprovoked,Guanacaste,Playa Grande,Surfing,M,0,Toothmarks in board & his swim trunks,N,,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",05
PAPUA NEW GUINEA,5/21/2002,2002.0,Unprovoked,Milne Bay Province,Tewatewa Island,Collecting beche-de-mer,M,14,Wrist lacerated,N,,,05
USA,5/13/2002,2002.0,Unprovoked,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,31,Laceration to arm.,N,,2.1 m to 2.4 m [7' to 8'] shark,05
BRAZIL,5/10/2002,2002.0,Unprovoked,Pernambuco,"Pina, Recife",Surfing,M,40,Leg injured,N,17h00,,05
AUSTRALIA,4/30/2002,2002.0,Unprovoked,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD) ,M,23,"FATAL, torso & leg bitten  ",Y,12h40,"White shark, 6m [20']",04
USA,4/20/2002,2002.0,Unprovoked,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,34,Left foot bitten,N,10h30,1.2 m [4'] shark,04
USA,4/18/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,Left foot bitten,N,11h10,,04
AUSTRALIA,4/12/2002,2002.0,Unprovoked,New South Wales,"Bar Beach, Newcastle",Swimming,M,45,Foot bitten,N,18h30,,04
BAHAMAS,4/9/2002,2002.0,Unprovoked,Abaco Islands,Walkers Cay,Standing,M,43,Calf bitten,N,10h45,"Bull shark, 400-lb ",04
USA,4/2/2002,2002.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,41,Two half-inch lacerations on right heel and one near small toe,N,15h00,3'  shark,04
